Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,19-1120-EX2,Transfer from Pension & Liability Insurance - City Wide to Arnold Mireles Elementary Academy,Transfer to clear insufficient funds check in June FY19 period,12470 Pension & Liability Insurance - City Wide,115 General Education Fund,57305 Hospitalization & Dental Insurance - Employer,009526 All Other,000000 Default Value,25331 Arnold Mireles Elementary Academy,115 General Education Fund,54125 Services - Professional/Administrative,222209 Computer/Media Techonology Services,000575 Student Based Budgeting,"$1,000",
2,19-1120-EX2,Transfer from Network 5 to Network 5,Transfer funds to purchase dry erase white boards for small conference room,02451 Network 5,115 General Education Fund,57940 Miscellaneous Charges,221080 Aio - Improvement Of Instruction,000000 Default Value,02451 Network 5,115 General Education Fund,53405 Commodities - Supplies,221080 Aio - Improvement Of Instruction,000000 Default Value,"$1,000",
3,19-1120-EX2,Transfer from Acero Charter Schools - Carlos Fuentes to Education General - City Wide,EXPIRED GRANT - Transfer funding to 356 contingency.,66393 Acero Charter Schools - Carlos Fuentes,356 ELL & Bilingual Programs,54320 Student Tuition - Charter Schools,221001 School Instructional Support Services,490942 Title Iii - Language Acquisition,12670 Education General - City Wide,356 ELL & Bilingual Programs,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,000",
4,19-1120-EX2,Transfer from Teaching and Learning Office to Lake View High School,Transfer to cover hosting for debate tournament 1.,10810 Teaching and Learning Office,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000000 Default Value,46211 Lake View High School,115 General Education Fund,57705 Services - Space Rental,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
5,19-1120-EX2,Transfer from Teaching and Learning Office to George Washington High School,Transfer to cover hosting for debate tournament 1.,10810 Teaching and Learning Office,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000000 Default Value,46331 George Washington High School,115 General Education Fund,57705 Services - Space Rental,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
6,19-1120-EX2,Transfer from Network 5 to Network 5,To cover supplies,02451 Network 5,115 General Education Fund,57940 Miscellaneous Charges,221080 Aio - Improvement Of Instruction,000000 Default Value,02451 Network 5,115 General Education Fund,53405 Commodities - Supplies,221080 Aio - Improvement Of Instruction,000000 Default Value,"$1,000",
7,19-1120-EX2,"Transfer from Science, Technology, Engineering, and Math (STEM) programs to Stephen Decatur Classical Elementary School",Transfer of funds for STEM programming.,"10871 Science, Technology, Engineering, and Math (STEM)
programs",115 General Education Fund,57940 Miscellaneous Charges,241016 Instructional Administration,000000 Default Value,29031 Stephen Decatur Classical Elementary School,115,57940,125023 000901,,"$1,000","General Education Fund
Miscellaneous Charges
Stem - Extended Student Learning
Other Gen Ed Funded Programs"
8,19-1120-EX2,"Transfer from Science, Technology, Engineering, and Math (STEM) programs to Daniel Hale Williams Prep School of Medicine",Transfer of funds for STEM programming.,"10871 Science, Technology, Engineering, and Math (STEM)
programs",115 General Education Fund,57940 Miscellaneous Charges,241016 Instructional Administration,000000 Default Value,55161 Daniel Hale Williams Prep School of Medicine,115,57940,125023 000901,,"$1,000","General Education Fund
Miscellaneous Charges
Stem - Extended Student Learning
Other Gen Ed Funded Programs"
9,19-1120-EX2,Transfer from Citywide Student Support and Engagement to Fort Dearborn Elementary School,FY20 SCS School Year Allocation,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,23241 Fort Dearborn Elementary School,115 General Education Fund,53405 Commodities - Supplies,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,"$1,000",
10,19-1120-EX2,Transfer from Citywide Student Support and Engagement to Cyrus H McCormick Elementary School,FY20 SCS School Year Allocation,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,24431 Cyrus H McCormick Elementary School,115 General Education Fund,53405 Commodities - Supplies,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,"$1,000",
