Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,18-0523-EX1,Transfer from Camelot - Chicago Excel Academy to Arts,Transfer to removed duplicate funding,63141 Camelot - Chicago Excel Academy,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
2,18-0523-EX1,Transfer from Camelot Excel - Englewood HS to Arts,Transfer to removed duplicate funding,63142 Camelot Excel - Englewood HS,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
3,18-0523-EX1,Transfer from Camelot Excel - Southwest HS to Arts,Transfer to removed duplicate funding,63144 Camelot Excel - Southwest HS,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
4,18-0523-EX1,Transfer from Arts to YCCS- McKinley Lakeside Leadership HS,Transfer of funds for Arts Essentials.,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,66107 YCCS- McKinley Lakeside Leadership HS,115 General Education Fund,54320 Student Tuition - Charter Schools,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,"$1,000",
5,18-0523-EX1,"
Transfer from Brian Piccolo Middle School to Brian Piccolo Elementary Specialty School",Transfer of funds to correct unit for Arts Essentials.,41071 Brian Piccolo Middle School,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,24781 Brian Piccolo Elementary Specialty School,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,"$1,000",
6,18-0523-EX1,Transfer from Language and Cultural Education to Language and Cultural Education,Flight and lodging for data strategist to attend NWEA Fusion in June. He will also be presenting at the event.,11510 Language and Cultural Education,115 General Education Fund,54125 Services - Professional/Administrative,221011 Improvement Of Instruction,000000 Default Value,11510 Language and Cultural Education,115 General Education Fund,54205 Travel Expense,221011 Improvement Of Instruction,000000 Default Value,"$1,000",
7,18-0523-EX1,Transfer from Procurement and Contracts Office to Procurement and Contracts Office,Membership renewal,12210 Procurement and Contracts Office,115 General Education Fund,54205 Travel Expense,257101 000000,,12210 Procurement and Contracts Office,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",257101 Purchasing & Contracts Admin,000000 Default Value,"$1,000","Purchasing & Contracts Admin
Default Value"
8,18-0523-EX1,Transfer from Office of Student Health & Wellness to Maria Saucedo Elementary Scholastic Academy,Incentive to complete School Health Profiles,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,262006 Cdc Yrbs,580212 Healthy Chicago Public Schools-Yrbs 262006 Fy18,29151 Maria Saucedo Elementary Scholastic Academy,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,262006 Cdc Yrbs,580212 Healthy Chicago Public Schools-Yrbs 262006 Fy18,"$1,000",
9,18-0523-EX1,"
Transfer from Counseling and Postsecondary Advising to Austin College and Career Academy High School",Transfer for college tour,10850 Counseling and Postsecondary Advising,115 General Education Fund,54210 Pupil Transportation,212041 Guidance,000000 Default Value,46621 Austin College and Career Academy High School,115 General Education Fund,54210 Pupil Transportation,212041 Guidance,000901 Other Gen Ed Funded Programs,"$1,000",
10,18-0523-EX1,Transfer from Instructional Supports to Noble - The Noble Academy,Hosting cost for Debate Tournament,11551 Instructional Supports,115 General Education Fund,57940 Miscellaneous Charges,150008 Debate - High School,000000 Default Value,66578 Noble - The Noble Academy,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,000",
11,18-0523-EX1,Transfer from Counseling and Postsecondary Advising to Counseling and Postsecondary Advising,Printing of college banners,10850 Counseling and Postsecondary Advising,115 General Education Fund,53405 Commodities - Supplies,212013 Counseling & Guidance Services,000000 Default Value,10850 Counseling and Postsecondary Advising,115 General Education Fund,54520 Services - Printing,212013 Counseling & Guidance Services,000000 Default Value,"$1,000",
12,18-0523-EX1,Transfer from Office of Student Health & Wellness to Office of Student Health & Wellness,Funds will purchase hygiene kits for schools,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",52140 Career Service Salaries - Other,221234 Professional Develop/Curriculum Develp,"580213 Healthy Chicago Public Schools-Hiv/Std Prevention
Initiative 221077 Fy18",14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221234 Professional Develop/Curriculum Develp,"580213 Healthy Chicago Public Schools-Hiv/Std Prevention
Initiative 221077 Fy18","$1,000",
13,18-0523-EX1,"
Transfer from Robert Lindblom Technical High School to Robert Lindblom Math & Science Academy HS",Transfer of funds to correct unit number.,46231 Robert Lindblom Technical High School,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,46511 Robert Lindblom Math & Science Academy HS,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,"$1,000",
14,18-0523-EX1,Transfer from Instructional Supports to William Howard Taft High School,Hosting funds for Chicago Debate League Championship,11551 Instructional Supports,115 General Education Fund,57940 Miscellaneous Charges,150008 Debate - High School,000000 Default Value,46311 William Howard Taft High School,115 General Education Fund,57705 Services - Space Rental,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
15,18-0523-EX1,Transfer from Early College and Career - City Wide to John Hancock College Preparatory High School,Transfer funds for student transportation.,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,51300 Regular Position Pointer,290001 General Salary S Bkt,"322022 Career & Technical Educ. Improvement Grant (Ctei)
Fy18",46021 John Hancock College Preparatory High School,369 Title I - School Improvement Carl Perkins,54210 Pupil Transportation,113096 Cte Law And Public Safety,"322022 Career & Technical Educ. Improvement Grant (Ctei)
Fy18","$1,000",
16,18-0523-EX1,Transfer from Facility Opers & Maint - City Wide to Ira F Aldridge Elementary School,furnish Labor and Materials to treat every classroom and complete exterior treatment Maximo # 4373749,11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,22641 Ira F Aldridge Elementary School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,"$1,000","4
"
17,18-0523-EX1,"
Transfer from Principal Quality to Principal Quality",Cover current outstanding carfare reimbursements and anticipated through the end of the FY.,02541 Principal Quality,115 General Education Fund,54125 Services - Professional/Administrative,221234 Professional Develop/Curriculum Develp,000000 Default Value,02541 Principal Quality,115 General Education Fund,54215 Car Fare,221234 Professional Develop/Curriculum Develp,000000 Default Value,"$1,000",
18,18-0523-EX1,Transfer from Student Support and Engagement to Student Support and Engagement,Transfer for meals for students attending state SO comp. - department request,11371 Student Support and Engagement,115 General Education Fund,53405 Commodities - Supplies,320020 Other After Schools Programs,000000 Default Value,11371 Student Support and Engagement,115 General Education Fund,"54555 Meals, Lodging, & Travel - Other",320020 Other After Schools Programs,000000 Default Value,"$1,000",
19,18-0523-EX1,Transfer from Early College and Career - City Wide to North-Grand High School,Transfer funds for student transportation.,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,54210 Pupil Transportation,119035 Other Instruction Purposes - Miscellaneous,474565 Special Student Needs-C. Perkins Fy18,46431 North-Grand High School,369 Title I - School Improvement Carl Perkins,54210 Pupil Transportation,148002 Medical Health Career Academy,474565 Special Student Needs-C. Perkins Fy18,"$1,000",
20,18-0523-EX1,Transfer from Facility Opers & Maint - City Wide to Wendell Phillips Academy High School,Fox Valley is to troubleshoot 2 dry fire sprinkler system that tripped. Diagnose any necessary repairs. maximo 7990974,11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,46261 Wendell Phillips Academy High School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,"$1,000","5
"
21,18-0523-EX1,"
Transfer from Facility Opers & Maint - City Wide to Richard Edwards Elementary School","install a 6 x 1 where the floor is 3/4 off at the doorway & apply a reducer transition. and modify 12x12 tile and glue to areas where tiles
are missing.",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,23081 Richard Edwards Elementary School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,"$1,000",
22,18-0523-EX1,Transfer from Nutrition Support Services - City Wide to Nutrition Support Services - City Wide,Budget Transfer to Subscriptions and fees to pay CDPH reinspection invoices,12050 Nutrition Support Services - City Wide,312 Lunchroom Fund,54210 Pupil Transportation,256009 000000,,12050 Nutrition Support Services - City Wide,312 Lunchroom Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",256009 Food Service,000000 Default Value,"$1,000","Food Service
Default Value"
23,18-0523-EX1,Transfer from Early College and Career - City Wide to Benito Juarez Community Academy High School,Transfer funds for supplies.,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,474565 Special Student Needs-C. Perkins Fy18,46421 Benito Juarez Community Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,144701 Automotive Mechanic,474565 Special Student Needs-C. Perkins Fy18,"$1,000",
24,18-0523-EX1,Transfer from Paul Robeson High School to Education General - City Wide,Sweeping expired grant funds for refund to CFF.,46121 Paul Robeson High School,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,070132 Cff - Target Healthy Cps Initiative,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,150900 Grants - Supplemental,"$1,000","6
"
25,18-0523-EX1,"
Transfer from Lillian R. Nicholson STEM Academy to Education General - City Wide",Sweeping expired grant funds for refund to CFF.,22181 Lillian R. Nicholson STEM Academy,124 School Special Income Fund,53405 Commodities - Supplies,113090 Grants-Citywide Misc Fndtns,070132 Cff - Target Healthy Cps Initiative,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,150900 Grants - Supplemental,"$1,000",
26,18-0523-EX1,Transfer from Henry H Nash Elementary School to Education General - City Wide,Sweeping expired grant funds for refund to CFF.,24641 Henry H Nash Elementary School,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,070132 Cff - Target Healthy Cps Initiative,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,150900 Grants - Supplemental,"$1,000",
27,18-0523-EX1,Transfer from Franz Peter Schubert Elementary School to Education General - City Wide,Sweeping expired grant funds for refund to CFF.,25291 Franz Peter Schubert Elementary School,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,113090 Grants-Citywide Misc Fndtns,070132 Cff - Target Healthy Cps Initiative,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,150900 Grants - Supplemental,"$1,000",
