Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,19-0327-EX1,Transfer from Instructional Supports to Frazier Prospective IB Magnet ES,Transfer to cover hosting cost for MS Debate Tournament,11551 Instructional Supports,115 General Education Fund,53205 Commodities - Supplied Food,150009 Debate - Middle School,000000 Default Value,29411 Frazier Prospective IB Magnet ES,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,000",
2,19-0327-EX1,Transfer from Instructional Supports to Sarah E. Goode STEM Academy,Transfer to cover cost of hosting costs for Debate Tournament,11551 Instructional Supports,115 General Education Fund,53405 Commodities - Supplies,150009 Debate - Middle School,000000 Default Value,46611 Sarah E. Goode STEM Academy,115 General Education Fund,57705 Services - Space Rental,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
3,19-0327-EX1,Transfer from Instructional Supports to Eric Solorio Academy High School,Transfer to cover cost of hosting costs for Debate Tournament,11551 Instructional Supports,115 General Education Fund,53205 Commodities - Supplied Food,150009 Debate - Middle School,000000 Default Value,46101 Eric Solorio Academy High School,115 General Education Fund,57705 Services - Space Rental,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
4,19-0327-EX1,Transfer from Instructional Supports to Chicago High School for Agricultural Sciences,Transfer to cover cost of hosting costs for Debate Tournament,11551 Instructional Supports,115 General Education Fund,53205 Commodities - Supplied Food,150009 Debate - Middle School,000000 Default Value,47091 Chicago High School for Agricultural Sciences,115 General Education Fund,57705 Services - Space Rental,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
5,19-0327-EX1,"
Transfer from Instructional Supports to Ole A Thorp Elementary Scholastic Academy",Transfer to cover cost of hosting costs for Debate Tournament,11551 Instructional Supports,115 General Education Fund,53205 Commodities - Supplied Food,150009 Debate - Middle School,000000 Default Value,29301 Ole A Thorp Elementary Scholastic Academy,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,000",
6,19-0327-EX1,Transfer from Instructional Supports to Robert Lindblom Math & Science Academy HS,Transfer to cover cost of hosting costs for Debate Tournament,11551 Instructional Supports,115 General Education Fund,53205 Commodities - Supplied Food,150009 Debate - Middle School,000000 Default Value,46511 Robert Lindblom Math & Science Academy HS,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,000",
7,19-0327-EX1,"Transfer from Science, Technology, Engineering, and Math (STEM) programs to Science, Technology, Engineering, and Math (STEM)
programs",Shifting funds to cover an expenditure swap from Title II,"10871 Science, Technology, Engineering, and Math (STEM)
programs",358 Title IV,54305 Tuition,221236 440044,,"10871 Science, Technology, Engineering, and Math (STEM)
programs",358 Title IV,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221227 Curriculum Development,"440044 Title Iv, Part A","$1,000","Mathematics - Professional Development
Title Iv, Part A"
8,19-0327-EX1,Transfer from Roger C Sullivan High School to Education General - City Wide,FY18 School payment for the purchase of ventra cards between 2/1/2018 - 6/30/2018,46301 Roger C Sullivan High School,124 School Special Income Fund,53405 Commodities - Supplies,290003 Miscellaneous General Charges,002239 Internal Accounts Book Transfers,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,000","2
"
9,19-0327-EX1,"
Transfer from Dr. Martin L. King Jr Academy of Social Justice to Dr Martin Luther King Jr College Prep HS",Englewood Transition.,26371 Dr. Martin L. King Jr Academy of Social Justice,115 General Education Fund,53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,005063 Fy19 School Actions - Englewood,46371 Dr Martin Luther King Jr College Prep HS,115 General Education Fund,53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,005063 Fy19 School Actions - Englewood,"$1,000",
10,19-0327-EX1,Transfer from Grant Funded Programs Office - City Wide to St John De La Salle School,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,430219 Nonpublic Inst. & Supp. Serv. - Catholic,69156 St John De La Salle School,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,390007 Nonpublic Community Parent Involvement,430219 Nonpublic Inst. & Supp. Serv. - Catholic,"$1,000",
11,19-0327-EX1,Transfer from Early Childhood Development - City Wide to Early Childhood Development - City Wide,Transfer to cover expenditure transfer to align grant budget.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,53405 Commodities - Supplies,119027 Prek Instruction,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19",11385 Early Childhood Development - City Wide,362 Early Childhood Development,54520 Services - Printing,221234 Professional Develop/Curriculum Develp,376669 State Preschool For All Age 3-5 Fy19,"$1,000",
12,19-0327-EX1,"Transfer from Science, Technology, Engineering, and Math (STEM) programs to Charles W Earle Elementary School",Transfer of funds for snacks for STEM Scholars programming.,"10871 Science, Technology, Engineering, and Math (STEM)
programs","324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,119010 Other Instructional Programs,399928 Healthy Communities Investments 17-3999,23031 Charles W Earle Elementary School,324,53205,119010 399928,,"$1,000","Miscellaneous Federal, State & Local Grants
Commodities - Supplied Food
Other Instructional Programs
Healthy Communities Investments 17-3999
"
13,19-0327-EX1,"
Transfer from Science, Technology, Engineering, and Math (STEM) programs to Langston Hughes School",Transfer of funds for snacks for STEM Scholars programming.,"10871 Science, Technology, Engineering, and Math (STEM)
programs","324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,119010 Other Instructional Programs,399928 Healthy Communities Investments 17-3999,26641 Langston Hughes School,324,53205,119010 399928,,"$1,000","Miscellaneous Federal, State & Local Grants
Commodities - Supplied Food
Other Instructional Programs
Healthy Communities Investments 17-3999"
