Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,18-0725-EX1,Transfer from Facility Operations & Maintenance to Facility Operations & Maintenance,For central office supplies,11860 Facility Operations & Maintenance,230 Public Building Commission O & M,54215 Car Fare,254009 Central Office Operations,000000 Default Value,11860 Facility Operations & Maintenance,230 Public Building Commission O & M,53405 Commodities - Supplies,254009 Central Office Operations,000000 Default Value,"$1,000",
2,18-0725-EX1,Transfer from Student Support and Engagement to Citywide Student Support and Engagement,ED Pioneers,11371 Student Support and Engagement,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,267983 Research & Evaluation Support Services,070600 21st Century Mou Program Income,10875 Citywide Student Support and Engagement,124 School Special Income Fund,54125 Services - Professional/Administrative,390011 Community School Initiative,070600 21st Century Mou Program Income,"$1,000",
3,18-0725-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Stephen T Mather High School,Supplies for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399927 Healthy Communities Investments 18-3999,46241 Stephen T Mather High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399927 Healthy Communities Investments 18-3999,"$1,000",
4,18-0725-EX1,Transfer from Instructional Supports to Instructional Supports,Transfer of funds per P. Bennett,11551 Instructional Supports,115 General Education Fund,52100 Career Service Salaries - Regular,419001 Payroll Salvage,000000 Default Value,11551 Instructional Supports,115 General Education Fund,53405 Commodities - Supplies,150001 Academic Decathlon - Hs,000000 Default Value,"$1,000",
5,18-0725-EX1,"Transfer from Magnet, Gifted and IB Programs to Magnet, Gifted and IB Programs",For MSAP Technology.,"10845 Magnet, Gifted and IB Programs","324 Miscellaneous Federal, State & Local Grants","54505 Seminar, Fees, Subscriptions, Professional
Memberships",221234 Professional Develop/Curriculum Develp,500309 Magnet Schools Assistance Program (Cpsmsap) Fy18,"10845 Magnet, Gifted and IB Programs","324 Miscellaneous Federal, State & Local Grants",55005 Property - Equipment,221234 500309,,"$1,000","Professional Develop/Curriculum Develp
Magnet Schools Assistance Program (Cpsmsap) Fy18"
6,18-0725-EX1,Transfer from Nutrition Support Services - City Wide to Nutrition Support Services - City Wide,Budget Transfer to carfare to submit reimbursements,12050 Nutrition Support Services - City Wide,312 Lunchroom Fund,57705 Services - Space Rental,256009 Food Service,000000 Default Value,12050 Nutrition Support Services - City Wide,312 Lunchroom Fund,54215 Car Fare,256009 Food Service,000000 Default Value,"$1,000",
7,18-0725-EX1,Transfer from Network 11 to Network 11,Transfer funds for purchase of professional texts to support teacher quality.,02511 Network 11,353 Title II - Teacher Quality,51330 Benefits Pointer,160011 Summer School,494062 Title Iia - Teacher Quality,02511 Network 11,353 Title II - Teacher Quality,53405 Commodities - Supplies,221080 Aio - Improvement Of Instruction,494062 Title Iia - Teacher Quality,"$1,000",
8,18-0725-EX1,Transfer from Facility Opers & Maint - City Wide to Charles R Darwin Elementary School,"Supply labor and material needed to repair intercom for room 408.No calls from room are received but all calls to room are heard on
speaker. Engineer replaced two call buttons in room SEE MAXIMO # CPS- 8416438.",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254031 O&M North,000000 Default Value,22881 Charles R Darwin Elementary School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254031 O&M North,000000 Default Value,"$1,000",
9,18-0725-EX1,Transfer from Chief Education Office to Chief Education Office,Transfer of funds for travel,10816 Chief Education Office,115 General Education Fund,54125 Services - Professional/Administrative,390003 Service Learning,000000 Default Value,10816 Chief Education Office,115 General Education Fund,"54555 Meals, Lodging, & Travel - Other",232102 Executive Administration,000000 Default Value,"$1,000",
10,18-0725-EX1,Transfer from Office of Internal Audit and Compliance to Office of Internal Audit and Compliance,To cover employees car fare mileage,10430 Office of Internal Audit and Compliance,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",252802 Audit Services,000000 Default Value,10430 Office of Internal Audit and Compliance,115 General Education Fund,54215 Car Fare,252802 000000,,"$1,000","Audit Services
Default Value"
