Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,19-0522-EX1,Transfer from Law Office to Law Office,Supplies.,10210 Law Office,115 General Education Fund,54125 Services - Professional/Administrative,231101 Legal Services,000000 Default Value,10210 Law Office,115 General Education Fund,53405 Commodities - Supplies,231101 Legal Services,000000 Default Value,"$1,000",
2,19-0522-EX1,Transfer from John Marshall Metropolitan High School to Education General - City Wide,Sweep Funds FY19 Fund 124 Reimbursable Positions 557253,47041 John Marshall Metropolitan High School,124 School Special Income Fund,52130 Career Service Salaries - Extended Day,254612 Security Services,904003 Citywide Miscellaneous,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,000",
3,19-0522-EX1,Transfer from Social and Emotional Learning to Social and Emotional Learning,For CPS pupil transportation,10895 Social and Emotional Learning,332 NCLB Title I Regular Fund,54520 Services - Printing,212041 Guidance,430224 Title I - District Initiatives,10895 Social and Emotional Learning,332 NCLB Title I Regular Fund,54210 Pupil Transportation,212041 Guidance,430224 Title I - District Initiatives,"$1,000",
4,19-0522-EX1,Transfer from Counseling and Postsecondary Advising to Counseling and Postsecondary Advising,Registration fees conferences,10850 Counseling and Postsecondary Advising,115 General Education Fund,54210 Pupil Transportation,212013,000000,10850 Counseling and Postsecondary Advising,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",212013 Counseling & Guidance Services,000000 Default Value,"$1,000","Counseling & Guidance Services
Default Value"
5,19-0522-EX1,Transfer from Early College and Career - City Wide to Charles Allen Prosser Career Academy High School,CTE Culinary Arts Program Certs,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,54125 Services - Professional/Administrative,119035 474566,,53041 Charles Allen Prosser Career Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",140505 Culinary Arts,474566 Special Student Needs-C. Perkins Fy19,"$1,000","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy19"
6,19-0522-EX1,Transfer from Social and Emotional Learning to Social and Emotional Learning,per Ben McKay,10895 Social and Emotional Learning,115 General Education Fund,54210 Pupil Transportation,231001 Student Discipline,000000 Default Value,10895 Social and Emotional Learning,115 General Education Fund,53405 Commodities - Supplies,231001 Student Discipline,000000 Default Value,"$1,000",
7,19-0522-EX1,Transfer from Social Science & Civic Engagement to Theodore Roosevelt High School,Funds to support Service Learning Program,10813 Social Science & Civic Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390003 Service Learning,000000 Default Value,46271 Theodore Roosevelt High School,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390003 Service Learning,000901 Other Gen Ed Funded Programs,"$1,000",
8,19-0522-EX1,Transfer from Access and Enrollment to Access and Enrollment,Funds needed in order to reimburse employees for Selective Enrollment test pickup/dropoff,11201 Access and Enrollment,115 General Education Fund,54125 Services - Professional/Administrative,221001 School Instructional Support Services,000000 Default Value,11201 Access and Enrollment,115 General Education Fund,54215 Car Fare,221001 School Instructional Support Services,000000 Default Value,"$1,000","2
"
9,19-0522-EX1,Transfer from Office of Student Health & Wellness to Office of Student Health & Wellness,Moving funds to travel line to cover for insufficient funds.,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,221077 Cdc Hiv Prevention Pd,"580215 Healthy Chicago Public Schools-Hiv/Std Prevention
Initiative 221077 Fy19",14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",54205 Travel Expense,221077 Cdc Hiv Prevention Pd,"580215 Healthy Chicago Public Schools-Hiv/Std Prevention
Initiative 221077 Fy19","$1,000",
10,19-0522-EX1,Transfer from Citywide Student Support and Engagement to Marie Sklodowska Curie Metropolitan High School,Transfer to push funds to Curie High School,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442176 21st Century Community Learning Centers - (Cohort
15-Grant 5) Fy19",53101 Marie Sklodowska Curie Metropolitan High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,"442176 21st Century Community Learning Centers - (Cohort
15-Grant 5) Fy19","$1,000",
