Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,19-1211-EX1,Transfer from Early College and Career - City Wide to Early College and Career - City Wide,Transfer funds for transportation,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,54210 Pupil Transportation,141501 Cte - Project Lead The Way,474567 Special Student Needs-C. Perkins Fy20,"$1,000",
2,19-1211-EX1,Transfer from Diverse Learner Service Delivery to Diverse Learner Service Delivery,"Supplies for DRS processing of requests, supplies for professional development sessions",11673 Diverse Learner Service Delivery,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221016 Odlss Transition Services,"524024 Secondary Transitional Experience Program (Step)
Fy20",11673 Diverse Learner Service Delivery,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221016 Odlss Transition Services,"524024 Secondary Transitional Experience Program (Step)
Fy20","$1,000",
3,19-1211-EX1,Transfer from Early College and Career - City Wide to Early College and Career - City Wide,Transfer for Travel per Lisa Washington,13727 Early College and Career - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,140060 Police And Fire Training - Voc,100398 Chicago Police And Fire Academy Training Program,13727 Early College and Career - City Wide,"324 Miscellaneous Federal, State & Local Grants",54220 Auto Reimbursement,140060 Police And Fire Training - Voc,100398 Chicago Police And Fire Academy Training Program,"$1,000",
4,19-1211-EX1,Transfer from Gage Park High School to Education General - City Wide,EXPIRED Grant - Transfer funding to contingency.,46141 Gage Park High School,367 Title I - Comprehensive School Reform,53510 Commodities - Postage,241006 School Office Services,424086 Sig - Gage Park (Cohort 6) Fy19,12670 Education General - City Wide,367 Title I - Comprehensive School Reform,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,000",
5,19-1211-EX1,Transfer from Chief Equity Office to Chief Equity Office,Supplied food expense.,10465 Chief Equity Office,115 General Education Fund,"54555 Meals, Lodging, & Travel - Other",233011 Equal Educ Opportunity-Admin,000000 Default Value,10465 Chief Equity Office,115 General Education Fund,53205 Commodities - Supplied Food,233011 Equal Educ Opportunity-Admin,000000 Default Value,"$1,000",
6,19-1211-EX1,Transfer from Computer Science to Computer Science,For AP CSP quarterlies from Lumity per Carmen Edwards,11405 Computer Science,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221234 Professional Develop/Curriculum Develp,210052 Computer Science For All Fy19,11405 Computer Science,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,221234 Professional Develop/Curriculum Develp,210052 Computer Science For All Fy19,"$1,000",
7,19-1211-EX1,Transfer from Department of JROTC to Kelvyn Park High School,Transfer needed for cadet transportation to events.,05261 Department of JROTC,115 General Education Fund,57915 Miscellaneous - Contingent Projects,113119 Rotc - Hs,000000 Default Value,46191 Kelvyn Park High School,115 General Education Fund,54210 Pupil Transportation,113119 Rotc - Hs,000901 Other Gen Ed Funded Programs,"$1,000",
8,19-1211-EX1,Transfer from Department of JROTC to Kelvyn Park High School,Transfer needed for the purchase of tee shirts and arc pins.,05261 Department of JROTC,115 General Education Fund,57915 Miscellaneous - Contingent Projects,113119 Rotc - Hs,000000 Default Value,46191 Kelvyn Park High School,115 General Education Fund,53405 Commodities - Supplies,113119 Rotc - Hs,000901 Other Gen Ed Funded Programs,"$1,000",
9,19-1211-EX1,"Transfer from Sports Administration and Facilities Management - City Wide to Sports Administration and Facilities Management - City
Wide",Printing services - sponsorship,"13737 Sports Administration and Facilities Management - City
Wide",124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,150005 High School Sports,000867 Sports Administration Revenue,"13737 Sports Administration and Facilities Management - City
Wide",124 School Special Income Fund,54520 Services - Printing,150005 High School Sports,000867 Sports Administration Revenue,"$1,000",
10,19-1211-EX1,Transfer from Network 9 to Network 9,transferring funds for teacher PD bucket,02491 Network 9,115 General Education Fund,57705 Services - Space Rental,221080 Aio - Improvement Of Instruction,000000 Default Value,02491 Network 9,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,000",
