Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,18-1205-EX1,Transfer from Grant Funded Programs Office - City Wide to Mercy Home for Girls,Transfer funds to process approved purchase order requests for Neglected Programs,12625 Grant Funded Programs Office - City Wide,334 NCLB Title 1 - Neglected & Delinquent,57915 Miscellaneous - Contingent Projects,125008 Title I - Neglected & Delinquent Programs,430525 Neglected Programs Fy19,69013 Mercy Home for Girls,334 NCLB Title 1 - Neglected & Delinquent,54125 Services - Professional/Administrative,125008 Title I - Neglected & Delinquent Programs,430525 Neglected Programs Fy19,"$1,000",
2,18-1205-EX1,Transfer from Grant Funded Programs Office - City Wide to Lawrence Hall Youth Services,Transfer funds to process approved purchase order requests for Neglected Programs,12625 Grant Funded Programs Office - City Wide,334 NCLB Title 1 - Neglected & Delinquent,57915 Miscellaneous - Contingent Projects,125008 Title I - Neglected & Delinquent Programs,430525 Neglected Programs Fy19,69048 Lawrence Hall Youth Services,334 NCLB Title 1 - Neglected & Delinquent,53305 Instructional Materials (Non-Digital),125008 Title I - Neglected & Delinquent Programs,430525 Neglected Programs Fy19,"$1,000",
3,18-1205-EX1,Transfer from Grant Funded Programs Office - City Wide to Associated Talmud Torah Of,Chicago,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 494067,,69530 Associated Talmud Torah Of Chicago,353 Title II - Teacher Quality,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",228953 Federal - Nonpublic Inst (Jewish),494068 Title Iia - Other Private Supplementary Servc.,"$1,000","Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programsFederal - Nonpublic Inst (Catholic)
Title Iia - Archdiocese Of Chgo. Suppl. Servc."
4,18-1205-EX1,Transfer from Instructional Supports to Gwendolyn Brooks College Preparatory Academy HS,2019 Supply funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,47051 Gwendolyn Brooks College Preparatory Academy HS,115 General Education Fund,53405 Commodities - Supplies,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
5,18-1205-EX1,Transfer from Instructional Supports to Robert Lindblom Math & Science Academy HS,2019 Supply funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,46511 Robert Lindblom Math & Science Academy HS,115 General Education Fund,53405 Commodities - Supplies,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
6,18-1205-EX1,Transfer from Instructional Supports to William B Ogden Elementary School,2019 Supply funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,24731 William B Ogden Elementary School,115 General Education Fund,53405 Commodities - Supplies,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
7,18-1205-EX1,Transfer from Instructional Supports to Louisa May Alcott College Preparatory ES,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000000 Default Value,22041 Louisa May Alcott College Preparatory ES,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
8,18-1205-EX1,Transfer from Instructional Supports to Roald Amundsen High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000000 Default Value,46031 Roald Amundsen High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
9,18-1205-EX1,Transfer from Instructional Supports to William J Bogan High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000000 Default Value,46041 William J Bogan High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
10,18-1205-EX1,Transfer from Instructional Supports to Gwendolyn Brooks College Preparatory Academy HS,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000000 Default Value,47051 Gwendolyn Brooks College Preparatory Academy HS,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
