Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,18-0425-EX1,Transfer from Instructional Supports to Leif Ericson Elementary Scholastic Academy,Hosting funds for MS Debate Tournament 4,11551 Instructional Supports,115 General Education Fund,57940 Miscellaneous Charges,150008 Debate - High School,000000 Default Value,29051 Leif Ericson Elementary Scholastic Academy,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,000",
2,18-0425-EX1,Transfer from Instructional Supports to Ole A Thorp Elementary Scholastic Academy,Hosting funds for MS Debate Tournament 4,11551 Instructional Supports,115 General Education Fund,57940 Miscellaneous Charges,150008 Debate - High School,000000 Default Value,29301 Ole A Thorp Elementary Scholastic Academy,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,000",
3,18-0425-EX1,Transfer from Facility Opers & Maint - City Wide to William Rainey Harper High School,Provide labor and material to tune burners on boilers #1 and #2 (Max#4009961),11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,46151 William Rainey Harper High School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,"$1,000",
4,18-0425-EX1,Transfer from Nutrition Support Services - City Wide to Nutrition Support Services - City Wide,Equipment purchases,12050 Nutrition Support Services - City Wide,312 Lunchroom Fund,53205 Commodities - Supplied Food,256013 Nss - Lunch Program,000000 Default Value,12050 Nutrition Support Services - City Wide,312 Lunchroom Fund,54105 Services: Non-technical/Laborer,256009 Food Service,000000 Default Value,"$1,000",
5,18-0425-EX1,Transfer from Information & Technology Services to Information & Technology Services,Transfer funds for staff travel reimbusements.,12510 Information & Technology Services,115 General Education Fund,53306 Commodities: Software (Non-Instructional),009575 Impact,000000 Default Value,12510 Information & Technology Services,115 General Education Fund,54215 Car Fare,009575 Impact,000000 Default Value,"$1,000",
6,18-0425-EX1,Transfer from Counseling and Postsecondary Advising to Counseling and Postsecondary Advising,"Printing costs for the Male Summit event on March 16, 2018",10850 Counseling and Postsecondary Advising,115 General Education Fund,54220 Auto Reimbursement,212023 Post Secondary Education,000000 Default Value,10850 Counseling and Postsecondary Advising,115 General Education Fund,54520 Services - Printing,212023 Post Secondary Education,000000 Default Value,"$1,000",
7,18-0425-EX1,Transfer from Arts to Arts,Transfer of funds to increase bucket number 529441.,10890 Arts,115 General Education Fund,"57205 Pensions - Employee, ESP",419001 Payroll Salvage,000000 Default Value,10890 Arts,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,000",
8,18-0425-EX1,Transfer from Arts to Arts,Transfer of funds to increase bucket number 529441.,10890 Arts,115 General Education Fund,"57205 Pensions - Employee, ESP",419001 Payroll Salvage,000000 Default Value,10890 Arts,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,000",
9,18-0425-EX1,"Transfer from YCCS-ASPIRA,Antonia Pantoja Alternative HS to Arts",Remove duplicate amount transferred for Arts Essentials.,"66108 YCCS-ASPIRA,Antonia Pantoja Alternative HS",115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
10,18-0425-EX1,Transfer from YCCS-Association House HS to Arts,Remove duplicate amount transferred for Arts Essentials.,66109 YCCS-Association House HS,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
11,18-0425-EX1,Transfer from YCCS-CCA Academy HS to Arts,Remove duplicate amount transferred for Arts Essentials.,66612 YCCS-CCA Academy HS,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
12,18-0425-EX1,Transfer from YCCS-Progressive Leadership Academy to Arts,Remove duplicate amount transferred for Arts Essentials.,66613 YCCS-Progressive Leadership Academy,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
13,18-0425-EX1,Transfer from YCCS-Dr. Pedro Albizu Campos Puerto Rican HS to Arts,Remove duplicate amount transferred for Arts Essentials.,66615 YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
14,18-0425-EX1,Transfer from YCCS-Latino Youth Alternative HS to Arts,Remove duplicate amount transferred for Arts Essentials.,66619 YCCS-Latino Youth Alternative HS,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
15,18-0425-EX1,Transfer from YCCS-Olive Harvey Middle College HS to Arts,Remove duplicate amount transferred for Arts Essentials.,66621 YCCS-Olive Harvey Middle College HS,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
16,18-0425-EX1,Transfer from YCCS-Truman Middle College HS to Arts,Remove duplicate amount transferred for Arts Essentials.,66625 YCCS-Truman Middle College HS,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
17,18-0425-EX1,Transfer from YCCS-Westside Holistic Leadership Acad HS to Arts,Remove duplicate amount transferred for Arts Essentials.,66628 YCCS-Westside Holistic Leadership Acad HS,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
18,18-0425-EX1,Transfer from Arts to Robert Fulton Elementary School,Transfer of funds for Arts Essentials.,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,23281 Robert Fulton Elementary School,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,"$1,000",
19,18-0425-EX1,Transfer from Arts to Brian Piccolo Middle School,Transfer of funds for Arts Essentials,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,41071 Brian Piccolo Middle School,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,"$1,000",
20,18-0425-EX1,Transfer from Arts to Pathways in Education- Brighton Park,Transfer of funds for Arts Essentials,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,66801 Pathways in Education- Brighton Park,115 General Education Fund,54320 Student Tuition - Charter Schools,113090 Grants-Citywide Misc Fndtns,000901 Other Gen Ed Funded Programs,"$1,000",
