Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,18-0926-EX1,Transfer from Citywide Student Support and Engagement to Christian Fenger Academy High School,Transfer to Fenger for CSI programming supplies for FY19 DI,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442173 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy19",46111 Christian Fenger Academy High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,"442173 21st Century Community Learning Centers - (Cohort
15-Grant 2) Fy19","$1,000",
2,18-0926-EX1,Transfer from Arts to Arts,Money to purchase supplies for the All City program,10890 Arts,115 General Education Fund,54125 Services - Professional/Administrative,113032 Music - Hs,000000 Default Value,10890 Arts,115 General Education Fund,53405 Commodities - Supplies,113035 All City Arts K-12,000000 Default Value,"$1,000",
3,18-0926-EX1,Transfer from Citywide Student Support and Engagement to Richard Edwards Elementary School,To support vendors at Edwards Elementary.,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,442171 21st Century Community Learning Centers Fy19,23081 Richard Edwards Elementary School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,119035 Other Instruction Purposes - Miscellaneous,442171 21st Century Community Learning Centers Fy19,"$1,000",
4,18-0926-EX1,Transfer from Citywide Student Support and Engagement to Charles Sumner Math & Science Community Acad ES,CSI Grants - Commodoties and supplies FY19 programming,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442172 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy19",31221 Charles Sumner Math & Science Community Acad ES,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,"442172 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy19","$1,000",
5,18-0926-EX1,Transfer from Bridgscape Academy Lawndale to Bridgescape Academy Brainerd,Transfer to make SPED reimbursement payments.,65011 Bridgscape Academy Lawndale,114 Special Education Fund,54320 Student Tuition - Charter Schools,"111086 Special Education Teacher Assignments - Charter And
Contract",000000 Default Value,65021 Bridgescape Academy Brainerd,114 Special Education Fund,54320 Student Tuition - Charter Schools,"214301 Psychological Services
000000",,"$1,000",Default Value
6,18-0926-EX1,Transfer from Early College and Career - City Wide to Disney II Magnet School,Software for CTE Computer Programming program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,53305 Instructional Materials (Non-Digital),119035 Other Instruction Purposes - Miscellaneous,"322023 Career & Technical Educ. Improvement Grant (Ctei)
Fy19",26921 Disney II Magnet School,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),146006 Computer Programming,"322023 Career & Technical Educ. Improvement Grant (Ctei)
Fy19","$1,000",
7,18-0926-EX1,Transfer from Capital/Operations - City Wide to Louis A Agassiz Elementary School,Funds Transfer From Award# 2017-427-00-27 To Project# 2019-22031-FRN ; Change Reason : NA,12150 Capital/Operations - City Wide,427 CIP Series 2016B,56310 Capitalized Construction,253544 Child Award,000000 Default Value,22031 Louis A Agassiz Elementary School,427 CIP Series 2016B,56306 Capitalized Furniture,009426 All Other,000000 Default Value,"$1,000",
8,18-0926-EX1,Transfer from Facility Opers & Maint - City Wide to Hyde Park Academy High School,"Additional monies needed for repair work to bond the XO Terminal to the case. Replace the breaker with a non ground fault type ,
cps-8922945",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,46171 Hyde Park Academy High School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,"$1,000",
9,18-0926-EX1,Transfer from Laughlin Falconer Elementary School to Education General - City Wide,Sweeeping LSC Election funds to credit back to LSC Relations,23151 Laughlin Falconer Elementary School,124 School Special Income Fund,57940 Miscellaneous Charges,231401 Reform - Lsc Elections,002239 Internal Accounts Book Transfers,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,003",
10,18-0926-EX1,"Transfer from Facility Opers & Maint - City Wide to Wendell Phillips Academy High School
Transfer From:
11880 Facility Opers & Maint - City Wide
230 Public Building Commission O & M
53405 Commodities - Supplies
254032 O&M West
000000 Default Value","Transfer To:
46261 Wendell Phillips Academy High School
230 Public Building Commission O & M
53405 Commodities - Supplies
254032 O&M West
000000 Default Value",,,,,,,,,,,"$1,008",
