Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,19-0626-EX1,Transfer from Early College and Career - City Wide to Richard T Crane Medical Preparatory HS,Transfer funds for student transportation.,13727 Early College and Career - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,439606 Critical Mass Year 6,46641 Richard T Crane Medical Preparatory HS,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,125023 Stem - Extended Student Learning,439606 Critical Mass Year 6,"$1,000",
2,19-0626-EX1,Transfer from Family & Community Engagement Office to Family & Community Engagement Office,Book Purchase for PLI parents. 9788372274854.,14060 Family & Community Engagement Office,115 General Education Fund,54125 Services - Professional/Administrative,221229 Back To School Campaign,000000 Default Value,14060 Family & Community Engagement Office,115 General Education Fund,53305 Instructional Materials (Non-Digital),300008 Community/Parent Involvement,000000 Default Value,"$1,000",
3,19-0626-EX1,Transfer from Access and Enrollment to Access and Enrollment,Funds needed in order to reimburse marketing team for CPS marketing expenses.,11201 Access and Enrollment,115 General Education Fund,54125 Services - Professional/Administrative,221001 School Instructional Support Services,000000 Default Value,11201 Access and Enrollment,115 General Education Fund,54215 Car Fare,263004 Marketing,000000 Default Value,"$1,000",
4,19-0626-EX1,Transfer from Austin College and Career Academy High School to Early College and Career - City Wide,Returning funds to CTE Department in preperation for the end of school year,46621 Austin College and Career Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",144805 Machine Operator,474566 Special Student Needs-C. Perkins Fy19,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,55005 Property - Equipment,119035 474566,,"$1,000","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy19"
5,19-0626-EX1,Transfer from Roberto Clemente Community Academy High School to Early College and Career - City Wide,Returning funds to CTE Department in preperation for the end of school year,51091 Roberto Clemente Community Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",140505 Culinary Arts,474566 Special Student Needs-C. Perkins Fy19,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,55005 Property - Equipment,119035 474566,,"$1,000","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy19"
6,19-0626-EX1,Transfer from Social Science & Civic Engagement to Roger C Sullivan High School,Funds to support Service Learning Program,10813 Social Science & Civic Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390003 Service Learning,000000 Default Value,46301 Roger C Sullivan High School,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390003 Service Learning,000901 Other Gen Ed Funded Programs,"$1,000",
7,19-0626-EX1,Transfer from School Safety and Security Office to School Safety and Security Office,For office supplies.,10610 School Safety and Security Office,210 Workers' & Unemployment Compensation/Tort,54215 Car Fare,254605 School Safety Services,000000 Default Value,10610 School Safety and Security Office,210 Workers' & Unemployment Compensation/Tort,53405 Commodities - Supplies,254605 School Safety Services,000000 Default Value,"$1,000",
8,19-0626-EX1,Transfer from Family & Community Engagement Office to Family & Community Engagement Office,Consultants expense.,14060 Family & Community Engagement Office,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,300008 Community/Parent Involvement,320520 Innovative Bridge & Transition Program,14060 Family & Community Engagement Office,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,300008 Community/Parent Involvement,320520 Innovative Bridge & Transition Program,"$1,000",
9,19-0626-EX1,Transfer from New School Development - City Wide to Innovation and Incubation,Transferring funds to open bucket positions to support Englewood STEM HS,13615 New School Development - City Wide,115 General Education Fund,55005 Property - Equipment,009546 School Transitions,005058 New And Expansion School Funding,13610 Innovation and Incubation,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,005058 New And Expansion School Funding,"$1,000",
10,19-0626-EX1,Transfer from Grant Funded Programs Office - City Wide to Associated Talmud Torah Of,Chicago,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 Federal - Nonpublic Inst (Catholic),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69530 Associated Talmud Torah Of Chicago,353 Title II - Teacher Quality,54130 Services - Non Professional,228953 Federal - Nonpublic Inst (Jewish),494068 Title Iia - Other Private Supplementary Servc.,"$1,000",Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs
