Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,19-0424-EX1,Transfer from Bowen High School to Education General - City Wide,Rescinding of Englewood Transition funds.,46491 Bowen High School,115 General Education Fund,53205 Commodities - Supplied Food,119035 Other Instruction Purposes - Miscellaneous,005063 Fy19 School Actions - Englewood,12670 Education General - City Wide,115 General Education Fund,57940 Miscellaneous Charges,119004 Other General Charges,005063 Fy19 School Actions - Englewood,"$1,000",
2,19-0424-EX1,Transfer from Instructional Supports to Chicago Vocational Career Academy High School,Transfer to cover the hosting cost for Middle School Debate Tournament,11551 Instructional Supports,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000000 Default Value,53011 Chicago Vocational Career Academy High School,115 General Education Fund,57705 Services - Space Rental,150009 Debate - Middle School,000901 Other Gen Ed Funded Programs,"$1,000",
3,19-0424-EX1,Transfer from Education General - City Wide to Communications Office,"ORGANIZATIONS, CHARITABLE AND",12670 Education General - City Wide,115 General Education Fund,51300 Regular Position Pointer,290001 000000,,10510 Communications Office,115 General Education Fund,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221205 Communications - Admin,000000 Default Value,"$1,000","General Salary S Bkt
Default Value"
4,19-0424-EX1,Transfer from Associated Talmud Torah Of,Chicago to Education General - City Wide,69530 Associated Talmud Torah Of Chicago,353 Title II - Teacher Quality,54130 Services - Non Professional,228953 Federal - Nonpublic Inst (Jewish),494064 Title Iia - Other Private Supplementary Servc.,12670 Education General - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,000",EXPIRED GRANT SWEEP - Transfer available funding to contingency.
5,19-0424-EX1,"
Transfer from Access and Enrollment to Access and Enrollment",Funds needed in order to reimburse marketing team expenses,11201 Access and Enrollment,115 General Education Fund,54125 Services - Professional/Administrative,221001 School Instructional Support Services,000000 Default Value,11201 Access and Enrollment,115 General Education Fund,54215 Car Fare,263004 Marketing,000000 Default Value,"$1,000",
6,19-0424-EX1,Transfer from Grant Funded Programs Office - City Wide to Lutheran Education Foundation,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958 494067,,69336 Lutheran Education Foundation,353 Title II - Teacher Quality,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",221022 Federal - Nonpublic Inst (Lutheran),494068 Title Iia - Other Private Supplementary Servc.,"$1,000","Federal - Nonpublic Inst (Catholic)
Title Iia - Archdiocese Of Chgo. Suppl. Servc."
7,19-0424-EX1,Transfer from Dewey Elementary Academy of Fine Arts to Early Childhood Development - City Wide,Transfer of funds needed due to over allocation.,22951 Dewey Elementary Academy of Fine Arts,362 Early Childhood Development,53405 Commodities - Supplies,256213 Early Childhood-Prekg-Food,376669 State Preschool For All Age 3-5 Fy19,11385 Early Childhood Development - City Wide,362 Early Childhood Development,53405 Commodities - Supplies,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,"$1,000",
8,19-0424-EX1,Transfer from John Fiske Elementary School to Early Childhood Development - City Wide,Transfer of funds needed due to over allocation.,23221 John Fiske Elementary School,362 Early Childhood Development,53405 Commodities - Supplies,256213 Early Childhood-Prekg-Food,376669 State Preschool For All Age 3-5 Fy19,11385 Early Childhood Development - City Wide,362 Early Childhood Development,53405 Commodities - Supplies,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,"$1,000","2
"
9,19-0424-EX1,"
Transfer from Daniel Webster Elementary School to Early Childhood Development - City Wide",Transfer of funds needed due to over allocation.,25791 Daniel Webster Elementary School,362 Early Childhood Development,53405 Commodities - Supplies,256213 Early Childhood-Prekg-Food,376669 State Preschool For All Age 3-5 Fy19,11385 Early Childhood Development - City Wide,362 Early Childhood Development,53405 Commodities - Supplies,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,"$1,000",
10,19-0424-EX1,Transfer from Counseling and Postsecondary Advising to Counseling and Postsecondary Advising,Star Scholarship Student Mailing,10850 Counseling and Postsecondary Advising,115 General Education Fund,54220 Auto Reimbursement,212041 Guidance,000000 Default Value,10850 Counseling and Postsecondary Advising,115 General Education Fund,54520 Services - Printing,212041 Guidance,000000 Default Value,"$1,000",
