Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,19-0828-EX1,Transfer from John B Drake Elementary School to Citywide Student Support and Engagement,Aligning to approved SCS Summer Budget,23011 John B Drake Elementary School,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,10875 Citywide Student Support and Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,"$1,000",
2,19-0828-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to William B Ogden Elementary School,Freshman Connections funds for Enrichment activities school allocation and 1/2 student based allocation.,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,24731 William B Ogden Elementary School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,000",
3,19-0828-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to John Hancock College Preparatory High School,Freshman Connections funds student based supply allocation.,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399929 Healthy Communities Investments 19-3999,46021 John Hancock College Preparatory High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399929 Healthy Communities Investments 19-3999,"$1,000",
4,19-0828-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to John F Kennedy High School,Freshman Connections funds student based supply allocation.,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399929 Healthy Communities Investments 19-3999,46201 John F Kennedy High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399929 Healthy Communities Investments 19-3999,"$1,000",
5,19-0828-EX1,Transfer from Citywide Student Support and Engagement to Fort Dearborn Elementary School,Aligning to approved SCS Summer budget,10875 Citywide Student Support and Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,23241 Fort Dearborn Elementary School,115 General Education Fund,"57205 Pensions - Employee, ESP",211012 Social And Emotional Learning Supports,000044 Ctu Sustainable Schools Initiative,"$1,000",
6,19-0828-EX1,Transfer from Citywide Student Support and Engagement to Daniel R Cameron Elementary School,Aligning to approved SCS Summer budget,10875 Citywide Student Support and Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,22531 Daniel R Cameron Elementary School,115 General Education Fund,52140 Career Service Salaries - Other,119035 Other Instruction Purposes - Miscellaneous,000044 Ctu Sustainable Schools Initiative,"$1,000",
7,19-0828-EX1,Transfer from Citywide Student Support and Engagement to Cyrus H McCormick Elementary School,Aligning to approved SCS Summer budget,10875 Citywide Student Support and Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,24431 Cyrus H McCormick Elementary School,115 General Education Fund,54205 Travel Expense,221011 Improvement Of Instruction,000044 Ctu Sustainable Schools Initiative,"$1,000",
8,19-0828-EX1,Transfer from Richard Yates Elementary School to Citywide Student Support and Engagement,Aligning to approved SCS Summer Budget,25911 Richard Yates Elementary School,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,10875 Citywide Student Support and Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,"$1,000",
9,19-0828-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to William B Ogden Elementary School,"Freshman Connections funds for student transportation, including Enrichment Activities school allocation and 1/2 student based
allocation.",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399929 Healthy Communities Investments 19-3999,24731 William B Ogden Elementary School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399929 Healthy Communities Investments 19-3999,"$1,000",
10,19-0828-EX1,Transfer from Adlai E Stevenson Elementary School to Citywide Student Support and Engagement,Aligning to approved SCS Summer Budget,25471 Adlai E Stevenson Elementary School,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,10875 Citywide Student Support and Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,"$1,000",
