Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,18-1024-EX1,Transfer from Citywide Student Support and Engagement to DeWitt Clinton Elementary School,CSI FY19- Supplies for afterschool programming,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442177 21st Century Community Learning Centers - (Cohort
15-Grant 6) Fy19",22751 DeWitt Clinton Elementary School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,"442177 21st Century Community Learning Centers - (Cohort
15-Grant 6) Fy19","$1,000",
2,18-1024-EX1,Transfer from Citywide Student Support and Engagement to South Shore Intl College Prep High School,CSI Transportation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442175 21st Century Community Learning Centers - (Cohort
15-Grant 4) Fy19",46631 South Shore Intl College Prep High School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,253831 Bus Svc-Field Trips-Reg,"442175 21st Century Community Learning Centers - (Cohort
15-Grant 4) Fy19","$1,000",
3,18-1024-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,228958,494067,69510 Office of Catholic Schools,353 Title II - Teacher Quality,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",228958 Federal - Nonpublic Inst (Catholic),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$1,000","Federal - Nonpublic Inst (Catholic)
Title Iia - Archdiocese Of Chgo. Suppl. Servc."
4,18-1024-EX1,Transfer from Talent Office to Talent Office,Licenses for adobe captivate module,11010 Talent Office,115 General Education Fund,54125 Services - Professional/Administrative,264054 Absence & Disability Management,000000 Default Value,11010 Talent Office,115 General Education Fund,53306 Commodities: Software (Non-Instructional),264054 Absence & Disability Management,000000 Default Value,"$1,000",
5,18-1024-EX1,Transfer from Gwendolyn Brooks College Preparatory Academy HS to Education General - City Wide,Transfer available funding to contingency.,47051 Gwendolyn Brooks College Preparatory Academy HS,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399927 Healthy Communities Investments 18-3999,12670 Education General - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,000",
6,18-1024-EX1,Transfer from Morgan Park High School to Education General - City Wide,Transfer available funding to contingency.,46251 Morgan Park High School,"324 Miscellaneous Federal, State & Local Grants","54505 Seminar, Fees, Subscriptions, Professional
Memberships",212017 Other Govt Fnded Prjts-Guidnce,399927 Healthy Communities Investments 18-3999,12670 Education General - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,600002 041008,,"$1,000","Contingency For Project Expansion
Contingency For Grant Expansion"
7,18-1024-EX1,Transfer from Spry Community Links High School to Education General - City Wide,Transfer available funding to contingency.,46461 Spry Community Links High School,"324 Miscellaneous Federal, State & Local Grants","54505 Seminar, Fees, Subscriptions, Professional
Memberships",212017 Other Govt Fnded Prjts-Guidnce,399927 Healthy Communities Investments 18-3999,12670 Education General - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,600002 041008,,"$1,000","Contingency For Project Expansion
Contingency For Grant Expansion"
8,18-1024-EX1,Transfer from Austin College and Career Academy High School to Education General - City Wide,Transfer available funding to contingency.,46621 Austin College and Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,12670 Education General - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,"$1,000",
9,18-1024-EX1,Transfer from Early College and Career - City Wide to Austin College and Career Academy High School,Certifications for CTE Web Design program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,55005 Property - Equipment,119035 474566,,46621 Austin College and Career Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",144805 Machine Operator,474566 Special Student Needs-C. Perkins Fy19,"$1,000","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy19"
10,18-1024-EX1,Transfer from Early Childhood Development - City Wide to Edward Beasley Elementary Magnet Academic Center,Parent admissions $1000 per site.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 376669,,29321 Edward Beasley Elementary Magnet Academic Center,362 Early Childhood Development,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",300008 Community/Parent Involvement,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19","$1,000","Prek Instruction
State Preschool For All Age 3-5 Fy19"
11,18-1024-EX1,Transfer from Early Childhood Development - City Wide to Edmond Burke Elementary School,Parent admissions $1000 per site.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 376669,,22411 Edmond Burke Elementary School,362 Early Childhood Development,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",300008 Community/Parent Involvement,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19","$1,000","Prek Instruction
State Preschool For All Age 3-5 Fy19"
12,18-1024-EX1,Transfer from Early Childhood Development - City Wide to Edmond Burke Elementary School,Student transportation $250 per classroom.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,22411 Edmond Burke Elementary School,362 Early Childhood Development,54210 Pupil Transportation,119027 Prek Instruction,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19","$1,000",
13,18-1024-EX1,Transfer from Early Childhood Development - City Wide to George Washington Carver Primary School,Parent admissions $1000 per site.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 376669,,22621 George Washington Carver Primary School,362 Early Childhood Development,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",300008 Community/Parent Involvement,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19","$1,000","Prek Instruction
State Preschool For All Age 3-5 Fy19"
14,18-1024-EX1,Transfer from Early Childhood Development - City Wide to George Washington Carver Primary School,Student transportation $250 per classroom.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,22621 George Washington Carver Primary School,362 Early Childhood Development,54210 Pupil Transportation,119027 Prek Instruction,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19","$1,000",
15,18-1024-EX1,Transfer from Early Childhood Development - City Wide to Mary E Courtenay Elementary Language Arts Center,Parent admissions $1000 per site.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 376669,,30141 Mary E Courtenay Elementary Language Arts Center,362 Early Childhood Development,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",300008 Community/Parent Involvement,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19","$1,000","Prek Instruction
State Preschool For All Age 3-5 Fy19"
16,18-1024-EX1,Transfer from Early Childhood Development - City Wide to Mary E Courtenay Elementary Language Arts Center,Student transportation $250 per classroom.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,30141 Mary E Courtenay Elementary Language Arts Center,362 Early Childhood Development,54210 Pupil Transportation,119027 Prek Instruction,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19","$1,000",
17,18-1024-EX1,Transfer from Early Childhood Development - City Wide to Nathan S Davis Elementary School,Parent admissions $1000 per site.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 376669,,22891 Nathan S Davis Elementary School,362 Early Childhood Development,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",300008 Community/Parent Involvement,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19","$1,000","Prek Instruction
State Preschool For All Age 3-5 Fy19"
18,18-1024-EX1,Transfer from Early Childhood Development - City Wide to Jose De Diego Elementary Community Academy,Parent admissions $1000 per site.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 376669,,31261 Jose De Diego Elementary Community Academy,362 Early Childhood Development,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",300008 Community/Parent Involvement,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19","$1,000","Prek Instruction
State Preschool For All Age 3-5 Fy19"
19,18-1024-EX1,Transfer from Early Childhood Development - City Wide to Dewey Elementary Academy of Fine Arts,Parent admissions $1000 per site.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 376669,,22951 Dewey Elementary Academy of Fine Arts,362 Early Childhood Development,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",300008 Community/Parent Involvement,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19","$1,000","Prek Instruction
State Preschool For All Age 3-5 Fy19"
20,18-1024-EX1,Transfer from Early Childhood Development - City Wide to Dewey Elementary Academy of Fine Arts,Student transportation $250 per classroom.,11385 Early Childhood Development - City Wide,362 Early Childhood Development,57940 Miscellaneous Charges,119027 Prek Instruction,376669 State Preschool For All Age 3-5 Fy19,22951 Dewey Elementary Academy of Fine Arts,362 Early Childhood Development,54210 Pupil Transportation,119027 Prek Instruction,"376648 State Preschool For All Age 3-5 Extended Supports
Fy19","$1,000",
