Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,18-0627-EX1,Transfer from YCCS- Academy of Scholastic Achievement HS to Arts,Transfer of funds to remove duplicated load.,66106 YCCS- Academy of Scholastic Achievement HS,115 General Education Fund,54320 Student Tuition - Charter Schools,113035 All City Arts K-12,000901 Other Gen Ed Funded Programs,10890 Arts,115 General Education Fund,57940 Miscellaneous Charges,113035 All City Arts K-12,000000 Default Value,"$1,000",
2,18-0627-EX1,Transfer from Counseling and Postsecondary Advising to Counseling and Postsecondary Advising,2018 Decision Day,10850 Counseling and Postsecondary Advising,115 General Education Fund,54220 Auto Reimbursement,212023 Post Secondary Education,000000 Default Value,10850 Counseling and Postsecondary Advising,115 General Education Fund,53405 Commodities - Supplies,212023 Post Secondary Education,000000 Default Value,"$1,000",
3,18-0627-EX1,Transfer from Network Support to Network Support,Travel for Leadership,11110 Network Support,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,11110 Network Support,115 General Education Fund,54215 Car Fare,230010 Administrative Support,000000 Default Value,"$1,000",
4,18-0627-EX1,Transfer from Counseling and Postsecondary Advising to Southside Occupational Academy High School,transfer funds to Southside Occupational Academy HS as an award for earning RAMP recognition,10850 Counseling and Postsecondary Advising,115 General Education Fund,54125 Services - Professional/Administrative,212013 Counseling & Guidance Services,000000 Default Value,49031 Southside Occupational Academy High School,115 General Education Fund,53405 Commodities - Supplies,212041 Guidance,000901 Other Gen Ed Funded Programs,"$1,000",
5,18-0627-EX1,"
Transfer from Instructional Supports to Gerald Delgado Kanoon Elementary Magnet School",To provide printing program booklets for chess tournaments,11551 Instructional Supports,115 General Education Fund,57940 Miscellaneous Charges,150013 Chess Program,000000 Default Value,29071 Gerald Delgado Kanoon Elementary Magnet School,115 General Education Fund,54520 Services - Printing,150013 Chess Program,000901 Other Gen Ed Funded Programs,"$1,000",
6,18-0627-EX1,Transfer from Grant Funded Programs Office - City Wide to Cambridge Classical Academy,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,370004 Nonpublic Instructional & Support Services,430202 Nonpublic Inst. & Supp. Serv. - Catholic,69224 Cambridge Classical Academy,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,300013 Non-Public Professional Development,430203 Nonpublic Inst. & Supp. Serv. - Independ.,"$1,000",
7,18-0627-EX1,Transfer from North-Grand High School to Early College and Career - City Wide,Pulling back funds unspent by the 5-1 deadline,46431 North-Grand High School,369 Title I - School Improvement Carl Perkins,54210 Pupil Transportation,148002 Medical Health Career Academy,474565 Special Student Needs-C. Perkins Fy18,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,55005 Property - Equipment,119035 Other Instruction Purposes - Miscellaneous,474565 Special Student Needs-C. Perkins Fy18,"$1,000",
8,18-0627-EX1,Transfer from Disney II Magnet School to Early College and Career - City Wide,Pulling back funds unspent by the 5-1 deadline,26921 Disney II Magnet School,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),146006 Computer Programming,"322022 Career & Technical Educ. Improvement Grant (Ctei)
Fy18",13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,55005 Property - Equipment,119035 Other Instruction Purposes - Miscellaneous,"322022 Career & Technical Educ. Improvement Grant (Ctei)
Fy18","$1,000",
9,18-0627-EX1,"
Transfer from Access and Enrollment to Access and Enrollment",Funds needed in order to reimburse staff for mileage and parking.,11201 Access and Enrollment,115 General Education Fund,56105 Services - Repair Contracts,221001 School Instructional Support Services,000000 Default Value,11201 Access and Enrollment,115 General Education Fund,54215 Car Fare,221001 School Instructional Support Services,000000 Default Value,"$1,000",
10,18-0627-EX1,Transfer from Social Science & Civic Engagement to Roger C Sullivan High School,Money to support Service Learning program,10813 Social Science & Civic Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390003 Service Learning,000000 Default Value,46301 Roger C Sullivan High School,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390003 Service Learning,000901 Other Gen Ed Funded Programs,"$1,000",
11,18-0627-EX1,Transfer from Facility Opers & Maint - City Wide to John B Drake Elementary School,"Furnish labor and material to repair wall openings in the following locations.1st fl,2nd fl,& 3rd fl janitors closets in boys bathrooms.
Demoed to repair plumbing.MAXIMO # CPS-8229696",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,23011 John B Drake Elementary School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,"$1,000",
12,18-0627-EX1,Transfer from Counseling and Postsecondary Advising to Counseling and Postsecondary Advising,Printing of Learn.Plan.Succeed. posters,10850 Counseling and Postsecondary Advising,115 General Education Fund,54210 Pupil Transportation,212013 Counseling & Guidance Services,000000 Default Value,10850 Counseling and Postsecondary Advising,115 General Education Fund,54520 Services - Printing,212013 Counseling & Guidance Services,000000 Default Value,"$1,000",
13,18-0627-EX1,"
Transfer from Computer Science to Computer Science",Transfer to purchase microbits - department request,11405 Computer Science,115 General Education Fund,54215 Car Fare,230010 Administrative Support,000000 Default Value,11405 Computer Science,115 General Education Fund,53405 Commodities - Supplies,146001 Computer Education-Elementary,000000 Default Value,"$1,000",
14,18-0627-EX1,Transfer from Facility Opers & Maint - City Wide to DuSable Multiplex,Engineer tried to rod out line. Need to rod line out backing up in the urinals. Location boys washroom by room 246. See attachment.,11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,46541 DuSable Multiplex,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,"$1,000",
15,18-0627-EX1,Transfer from Network 11 to Network 11,Transfer funds to support Network wide student events,02511 Network 11,115 General Education Fund,54125 Services - Professional/Administrative,230010 Administrative Support,000000 Default Value,02511 Network 11,115 General Education Fund,53405 Commodities - Supplies,221080 Aio - Improvement Of Instruction,000000 Default Value,"$1,000",
16,18-0627-EX1,Transfer from Facility Opers & Maint - City Wide to Matthew Gallistel Elementary Language Academy,Furnish labor and materials to repair section of leaking sprinkler pipe in lunchroom B per Maximo Work Order: CPS-8235959,11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,29091 Matthew Gallistel Elementary Language Academy,230 Public Building Commission O & M,56105 Services - Repair Contracts,254033 O&M South,000000 Default Value,"$1,000",
