Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,19-0227-EX1,Transfer from Social Science & Civic Engagement to Social Science & Civic Engagement,Funds will be used for hotel and airfare arrangements for staff to attend conferences,10813 Social Science & Civic Engagement,115 General Education Fund,55005 Property - Equipment,390003 Service Learning,000000 Default Value,10813 Social Science & Civic Engagement,115 General Education Fund,54205 Travel Expense,390003 Service Learning,000000 Default Value,"$1,000",
2,19-0227-EX1,Transfer from Chief Operating Officer to Chief Operating Officer,COO office travel and registration for Education Finance conference.,10415 Chief Operating Officer,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,10415 Chief Operating Officer,115 General Education Fund,54205 Travel Expense,232102 Executive Administration,000000 Default Value,"$1,000",
3,19-0227-EX1,Transfer from Instructional Supports to William J Bogan High School,Transfer to cover the cost of Transportation for Debate tournaments,11551 Instructional Supports,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000000 Default Value,46041 William J Bogan High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
4,19-0227-EX1,Transfer from Instructional Supports to Chicago Military Academy High School,Transfer to cover cost of transportation for Debate Tournaments,11551 Instructional Supports,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000000 Default Value,70070 Chicago Military Academy High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
5,19-0227-EX1,Transfer from Instructional Supports to Roald Amundsen High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,46031 Roald Amundsen High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
6,19-0227-EX1,Transfer from Instructional Supports to William J Bogan High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,46041 William J Bogan High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
7,19-0227-EX1,Transfer from Instructional Supports to Chicago High School for Agricultural Sciences,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,47091 Chicago High School for Agricultural Sciences,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
8,19-0227-EX1,Transfer from Instructional Supports to Chicago Academy High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,46481 Chicago Academy High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
9,19-0227-EX1,Transfer from Instructional Supports to Chicago Vocational Career Academy High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,53011 Chicago Vocational Career Academy High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
10,19-0227-EX1,Transfer from Instructional Supports to Michele Clark Academic Prep Magnet High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,41051 Michele Clark Academic Prep Magnet High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
11,19-0227-EX1,Transfer from Instructional Supports to Dyett High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,66021 Dyett High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
12,19-0227-EX1,Transfer from Instructional Supports to Marie Sklodowska Curie Metropolitan High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,53101 Marie Sklodowska Curie Metropolitan High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
13,19-0227-EX1,Transfer from Instructional Supports to John M Harlan Community Academy High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,51021 John M Harlan Community Academy High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
14,19-0227-EX1,Transfer from Instructional Supports to Gurdon S Hubbard High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,46341 Gurdon S Hubbard High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
15,19-0227-EX1,Transfer from Instructional Supports to Back of the Yards IB HS,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,46551 Back of the Yards IB HS,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
16,19-0227-EX1,Transfer from Instructional Supports to Edwin G. Foreman College and Career Academy,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,46131 Edwin G. Foreman College and Career Academy,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
17,19-0227-EX1,Transfer from Instructional Supports to North-Grand High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,46431 North-Grand High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
18,19-0227-EX1,Transfer from Instructional Supports to Benito Juarez Community Academy High School,2019 Transportation funds H.S. Debate Program,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150008 Debate - High School,000000 Default Value,46421 Benito Juarez Community Academy High School,115 General Education Fund,54210 Pupil Transportation,150008 Debate - High School,000901 Other Gen Ed Funded Programs,"$1,000",
