Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED
1,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Gwendolyn Brooks College Preparatory Academy HS,Supplies for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399927 Healthy Communities Investments 18-3999,47051 Gwendolyn Brooks College Preparatory Academy HS,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399927 Healthy Communities Investments 18-3999,"$1,000",
2,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to John Hancock College Preparatory High School,Supplies for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399927 Healthy Communities Investments 18-3999,46021 John Hancock College Preparatory High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 Freshman Summer Enrichment,399927 Healthy Communities Investments 18-3999,"$1,000",
3,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Morgan Park High School,Fees for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 399927,,46251 Morgan Park High School,"324 Miscellaneous Federal, State & Local Grants","54505 Seminar, Fees, Subscriptions, Professional
Memberships",212017 Other Govt Fnded Prjts-Guidnce,399927 Healthy Communities Investments 18-3999,"$1,000","Freshman Summer Enrichment
Healthy Communities Investments 18-3999"
4,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Spry Community Links High School,Fees for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018,399927,46461 Spry Community Links High School,"324 Miscellaneous Federal, State & Local Grants","54505 Seminar, Fees, Subscriptions, Professional
Memberships",212017 Other Govt Fnded Prjts-Guidnce,399927 Healthy Communities Investments 18-3999,"$1,000","Freshman Summer Enrichment
Healthy Communities Investments 18-3999"
5,18-0822-EX1,"
Transfer from Counseling and Postsecondary Advising - City Wide to Wells Community Academy High School",Fees for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,160018 399927,,51071 Wells Community Academy High School,"324 Miscellaneous Federal, State & Local Grants","54505 Seminar, Fees, Subscriptions, Professional
Memberships",212017 Other Govt Fnded Prjts-Guidnce,399927 Healthy Communities Investments 18-3999,"$1,000","Freshman Summer Enrichment
Healthy Communities Investments 18-3999"
6,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Austin College and Career Academy High School,Pupil Transportation for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,46621 Austin College and Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,"$1,000",
7,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Chicago Academy High School,Pupil Transportation for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,46481 Chicago Academy High School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,"$1,000",
8,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Kelvyn Park High School,Pupil Transportation for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,46191 Kelvyn Park High School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,"$1,000",
9,18-0822-EX1,"
Transfer from Counseling and Postsecondary Advising - City Wide to Manley Career Academy High School",Pupil Transportation for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,53111 Manley Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,"$1,000",
10,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to John Marshall Metropolitan High School,Pupil Transportation for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,47041 John Marshall Metropolitan High School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,"$1,000",
11,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Al Raby High School,Pupil Transportation for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,46471 Al Raby High School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,"$1,000",
12,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Ellen H Richards Career Academy High School,Pupil Transportation for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,53051 Ellen H Richards Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,"$1,000",
13,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Greater Lawndale High School For Social Justice,Pupil Transportation for Freshman Connection,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,55171 Greater Lawndale High School For Social Justice,"324 Miscellaneous Federal, State & Local Grants",54210 Pupil Transportation,255015 Transportation-Special Prog,399927 Healthy Communities Investments 18-3999,"$1,000",
14,18-0822-EX1,"
Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools",Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57940 Miscellaneous Charges,228958 494063,,69510 Office of Catholic Schools,353 Title II - Teacher Quality,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",228958 Federal - Nonpublic Inst (Catholic),494063 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$1,000","Federal - Nonpublic Inst (Catholic)
Title Iia - Archdiocese Of Chgo. Suppl. Servc."
15,18-0822-EX1,Transfer from Grant Funded Programs Office - City Wide to Independent Schools Of Chicago,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57940 Miscellaneous Charges,228958 Federal - Nonpublic Inst (Catholic),494064 Title Iia - Other Private Supplementary Servc.,70140 Independent Schools Of Chicago,353 Title II - Teacher Quality,53405 Commodities - Supplies,228950 Federal - Nonpublic Inst (Independent),494064 Title Iia - Other Private Supplementary Servc.,"$1,000",
16,18-0822-EX1,Transfer from Grant Funded Programs Office - City Wide to Associated Talmud Torah Of,Chicago,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57940 Miscellaneous Charges,228958 Federal - Nonpublic Inst (Catholic),494064 Title Iia - Other Private Supplementary Servc.,69530 Associated Talmud Torah Of Chicago,353 Title II - Teacher Quality,54130 Services - Non Professional,228953 Federal - Nonpublic Inst (Jewish),494064 Title Iia - Other Private Supplementary Servc.,"$1,000",Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs
17,18-0822-EX1,Transfer from Grant Funded Programs Office - City Wide to Associated Talmud Torah Of,Chicago,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57940 Miscellaneous Charges,228958 Federal - Nonpublic Inst (Catholic),494064 Title Iia - Other Private Supplementary Servc.,69530 Associated Talmud Torah Of Chicago,353 Title II - Teacher Quality,55005 Property - Equipment,228953 Federal - Nonpublic Inst (Jewish),494064 Title Iia - Other Private Supplementary Servc.,"$1,000",Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs
18,18-0822-EX1,"
Transfer from Network 3 to Network 3",Reimbursement for CTA passes,02431 Network 3,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000000 Default Value,02431 Network 3,115 General Education Fund,54205 Travel Expense,221011 Improvement Of Instruction,000000 Default Value,"$1,000",
19,18-0822-EX1,Transfer from Talent Office to Talent Office,Transfer for Travel,11010 Talent Office,115 General Education Fund,53510 Commodities - Postage,264054 Absence & Disability Management,000000 Default Value,11010 Talent Office,115 General Education Fund,54205 Travel Expense,264054 Absence & Disability Management,000000 Default Value,"$1,000",
20,18-0822-EX1,Transfer from Instructional Supports to Instructional Supports,To open miscellaneous bucket,11551 Instructional Supports,115 General Education Fund,54125 Services - Professional/Administrative,150001 Academic Decathlon - Hs,000000 Default Value,11551 Instructional Supports,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,000",
21,18-0822-EX1,Transfer from Talent Office to Talent Office,Transfer fund is need to reimburse Staff for conference travels. And also for staff who travel to and from Garfield to Central Office.,11010 Talent Office,115 General Education Fund,54125 Services - Professional/Administrative,264209 Staffing Services,000000 Default Value,11010 Talent Office,115 General Education Fund,54205 Travel Expense,264209 Staffing Services,000000 Default Value,"$1,000","5
"
22,18-0822-EX1,"
Transfer from Facility Opers & Maint - City Wide to William H Ray Elementary School","FURNISH LABOR AND MATERIAL TO INSTALL DOOR WRAP AROUND AND LEVER ON CLASSROOMS 306,307.310.rEPIN
CYLINDER TO MASTER @ 1,015.70",11880 Facility Opers & Maint - City Wide,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,25071 William H Ray Elementary School,230 Public Building Commission O & M,56105 Services - Repair Contracts,254032 O&M West,000000 Default Value,"$1,016",
23,18-0822-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Eric Solorio Academy High School,Freshman Connection Benefit Allocation,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,212017 Other Govt Fnded Prjts-Guidnce,399927 Healthy Communities Investments 18-3999,46101 Eric Solorio Academy High School,"324 Miscellaneous Federal, State & Local Grants",51330 Benefits Pointer,290001 General Salary S Bkt,399927 Healthy Communities Investments 18-3999,"$1,023",
24,18-0822-EX1,Transfer from Grant Funded Programs Office - City Wide to Associated Talmud Torah Of,Chicago,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57940 Miscellaneous Charges,228958 Federal - Nonpublic Inst (Catholic),494064 Title Iia - Other Private Supplementary Servc.,69530 Associated Talmud Torah Of Chicago,353 Title II - Teacher Quality,54130 Services - Non Professional,228953 Federal - Nonpublic Inst (Jewish),494064 Title Iia - Other Private Supplementary Servc.,"$1,040",Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs
25,18-0822-EX1,Transfer from William H Brown Elementary School to Education General - City Wide,Sweeping excess funds released from FY19 reimbursable positions.,22351 William H Brown Elementary School,124 School Special Income Fund,51330 Benefits Pointer,290001 General Salary S Bkt,002239 Internal Accounts Book Transfers,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,002239 Internal Accounts Book Transfers,"$1,042","6
"
26,18-0822-EX1,"
Transfer from Counseling and Postsecondary Advising - City Wide to Gage Park High School",Freshman Connection Benefit Allocation,10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",57940 Miscellaneous Charges,212017 Other Govt Fnded Prjts-Guidnce,399927 Healthy Communities Investments 18-3999,46141 Gage Park High School,"324 Miscellaneous Federal, State & Local Grants",51330 Benefits Pointer,290001 General Salary S Bkt,399927 Healthy Communities Investments 18-3999,"$1,055",
27,18-0822-EX1,Transfer from Safety and Security - City Wide to Skinner North,To cover additional benefit cost.,10615 Safety and Security - City Wide,210 Workers' & Unemployment Compensation/Tort,57940 Miscellaneous Charges,254605 School Safety Services,000000 Default Value,22591 Skinner North,210 Workers' & Unemployment Compensation/Tort,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,072",
